Population ciblée,Precision,Lift,Recall
0.05,0.7934,2.2552586696986925,0.11276293348493462
0.1,0.749,2.1290505969300737,0.21290505969300738
0.15000000000000002,0.7166666666666667,2.0371423157096835,0.3055713473564525
0.2,0.68575,1.9492609437180215,0.38985218874360433
0.25,0.66024,1.8767481523592953,0.46918703808982376
0.3,0.6373666666666666,1.8117301497062723,0.5435190449118817
0.35000000000000003,0.6120857142857142,1.7398684317388124,0.6089539511085844
0.4,0.583625,1.6589681637293916,0.6635872654917567
0.45,0.5554888888888889,1.5789905880866655,0.7105457646389994
0.5,0.5291,1.5039795338260376,0.7519897669130188
0.55,0.5045818181818181,1.4342860096128998,0.788857305287095
0.6000000000000001,0.4825833333333333,1.3717547849156717,0.823052870949403
0.6500000000000001,0.4624,1.314383172256964,0.8543490619670268
0.7000000000000001,0.4444571428571429,1.2633801673028506,0.8843661171119954
0.7500000000000001,0.42696,1.2136441159749858,0.9102330869812394
0.8,0.4108125,1.1677444570778852,0.9341955656623081
0.8500000000000001,0.3950235294117647,1.122863926696318,0.9544343376918704
0.9000000000000001,0.38056666666666666,1.0817699450445328,0.9735929505400795
0.9500000000000001,0.36624210526315787,1.0410520331528081,0.9889994314951677
1.0,0.3518,1.0,1.0
